,group,site,age,sex,tsnr1,tsnr2
0,2nd,2,27.57,0,17.69597,18.39965
1,2nd,2,25.57,1,29.319935,32.426174
2,2nd,2,27.14,0,21.255512,19.214106
3,2nd,2,27.29,0,25.795908,27.161386
4,2nd,2,25.43,0,12.77353,9.496538
5,2nd,2,27.71,1,27.847742,26.452723
6,2nd,2,28.71,0,24.82115,24.027113
7,2nd,2,27.0,0,24.144281,24.136621
8,2nd,2,28.86,1,13.026386,12.12559
9,2nd,2,23.43,0,22.028622,19.984875
10,2nd,2,25.14,0,23.133984,19.96657
11,2nd,2,26.71,0,34.896053,28.168755
12,2nd,2,26.43,0,23.63158,27.110897
13,2nd,2,24.43,1,20.551966,23.020054
14,2nd,2,27.86,0,35.69609,38.75232
15,2nd,2,24.71,0,17.542059,16.335789
16,2nd,2,27.14,1,25.700745,26.044613
17,2nd,2,25.86,1,17.161894,15.767518
18,2nd,2,21.43,1,24.093468,21.97776
19,2nd,2,27.57,0,16.774359,17.842922
20,2nd,2,25.0,0,29.627554,34.870644
21,2nd,2,25.86,1,27.266481,23.58359
22,2nd,2,27.29,0,31.932402,38.293484
23,2nd,2,28.0,1,28.78242,35.989914
24,2nd,2,26.14,0,7.9629645,9.2597885
25,2nd,2,26.14,1,16.175455,15.310142
26,2nd,2,25.0,0,19.844206,18.412115
27,2nd,2,23.71,0,23.286947,17.688383
28,2nd,2,28.14,1,24.310253,25.355497
29,2nd,2,23.43,1,31.823093,28.200825
30,2nd,2,26.71,1,22.215364,22.334827
31,2nd,2,26.57,1,18.356007,20.155869
32,2nd,2,24.86,0,9.356945,8.724827
33,2nd,2,28.29,1,29.30813,33.360954
34,2nd,2,28.86,0,18.972618,21.161543
35,2nd,2,28.57,0,19.392347,18.762281
36,2nd,2,27.43,0,23.554153,24.089273
37,2nd,2,27.43,1,10.0871105,11.27668
38,2nd,2,25.29,1,30.136436,31.826422
39,2nd,2,26.57,0,21.645937,22.008408
40,2nd,2,28.71,0,31.753881,32.994656
41,2nd,2,28.14,1,19.263739,18.976433
42,2nd,2,21.86,1,23.676458,22.010529
43,2nd,2,26.14,1,16.38634,18.788635
44,2nd,2,24.71,1,22.728086,22.379152
45,2nd,2,22.86,1,25.50352,22.743807
46,2nd,2,22.71,1,12.616119,10.397989
47,2nd,2,28.14,1,16.81659,18.924456
48,2nd,2,26.86,0,18.373936,18.052904
49,2nd,2,27.57,1,15.398076,15.71232
50,2nd,2,28.71,0,15.468275,15.842388
51,2nd,2,25.57,1,20.011137,19.689499
52,2nd,2,26.43,1,10.890131,11.80194
53,2nd,2,27.86,1,22.0057,21.98685
54,2nd,2,23.29,0,28.910578,25.392933
55,2nd,2,23.86,0,22.531212,19.930307
56,2nd,2,26.43,1,18.623493,20.03341
57,2nd,2,22.57,1,16.55838,18.46885
58,2nd,2,25.71,0,19.495377,20.42976
59,2nd,2,28.14,1,16.51471,17.707796
60,2nd,2,26.57,0,26.617634,28.471575
61,2nd,2,25.86,1,20.908829,20.185678
62,2nd,2,21.86,0,24.957098,20.36089
63,2nd,2,28.71,0,24.679455,24.513021
64,2nd,2,22.14,1,19.328417,19.484184
65,2nd,2,25.71,1,24.307234,21.443567
66,2nd,2,27.0,0,22.877222,20.934832
67,2nd,2,24.14,0,19.517393,19.607533
68,2nd,2,25.14,1,24.352064,30.171284
69,2nd,2,27.43,1,23.38249,22.376577
70,2nd,2,24.14,1,27.31625,28.622282
71,2nd,2,28.86,1,18.521809,17.879814
72,2nd,2,22.57,1,29.315325,25.86778
73,2nd,2,27.71,1,24.74216,24.548128
74,2nd,2,25.71,1,25.7675,26.298416
75,2nd,2,26.14,1,18.824768,19.3338
76,2nd,2,27.0,0,40.49752,36.548065
77,2nd,2,28.71,0,21.685755,25.158106
78,2nd,2,23.57,0,25.647291,23.124382
79,2nd,2,24.29,1,28.528202,27.11479
80,2nd,2,28.14,0,19.882978,26.019302
81,2nd,2,25.86,1,21.616928,30.151377
82,2nd,2,28.57,0,18.746866,21.350088
83,2nd,2,23.43,0,18.500532,18.389584
84,2nd,2,25.14,0,28.519924,21.447664
85,2nd,2,26.14,1,26.533957,26.350355
86,2nd,2,28.29,0,21.651407,22.010977
87,2nd,2,25.86,1,38.0358,32.253307
88,2nd,2,25.14,0,26.763031,22.055254
89,2nd,2,27.43,1,20.160795,21.509417
90,2nd,2,26.86,0,16.673851,20.381952
91,2nd,2,28.0,0,15.218776,18.520811
92,2nd,2,28.0,1,20.54348,23.300058
93,2nd,2,27.14,0,40.502922,32.545883
94,2nd,2,22.71,0,42.065903,37.29887
95,2nd,2,24.0,0,22.814775,20.917198
96,2nd,2,25.43,1,19.72528,19.694487
97,2nd,2,26.29,0,22.053421,20.644024
98,2nd,2,24.57,1,17.980976,14.741164
99,2nd,2,24.71,0,20.366262,21.566357
100,2nd,2,23.14,1,21.354467,20.492819
101,2nd,2,24.43,1,33.393047,24.748688
102,2nd,2,27.86,0,21.516008,22.34019
103,2nd,2,28.71,1,23.244043,25.539507
104,2nd,2,25.86,0,20.834335,20.485352
105,2nd,2,27.71,0,16.150064,21.160044
106,2nd,2,28.29,1,21.500334,24.657675
107,2nd,2,24.43,0,26.471703,23.905495
108,2nd,2,28.14,1,17.297178,19.813774
109,3rd,2,31.43,1,22.251925,24.280132
110,3rd,2,35.29,0,19.072449,23.641182
111,3rd,2,32.29,0,20.733917,21.21944
112,3rd,2,30.14,1,27.56122,26.924334
113,3rd,2,29.57,0,37.076424,33.025013
114,3rd,2,29.57,0,25.548382,23.859287
115,3rd,2,34.71,1,22.582884,23.829756
116,3rd,2,33.0,0,38.867893,42.01601
117,3rd,2,32.57,0,24.363474,25.387466
118,3rd,2,31.43,1,27.541357,28.6809
119,3rd,2,30.71,0,30.44892,29.086382
120,3rd,2,33.29,0,24.40168,25.084423
121,3rd,2,30.14,0,10.607226,12.144659
122,3rd,2,33.57,0,25.05697,28.68109
123,3rd,2,30.43,1,11.905845,14.491145
124,3rd,2,33.14,1,20.613852,23.049423
125,3rd,2,30.57,0,24.868832,22.68867
126,3rd,2,31.0,0,21.675869,20.920694
127,3rd,2,35.86,1,20.104534,20.089746
128,3rd,2,29.71,0,26.450926,27.624737
129,3rd,2,33.86,1,26.502762,28.2566
130,3rd,2,30.43,0,28.714119,33.037354
131,3rd,2,30.43,0,21.981413,23.365095
132,3rd,2,34.57,1,15.128711,15.267217
